x_0,x_1,x_2,x_3
,,,
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.08379266021667763,0.08379266021667763,0.0,0.08379266021667763
0.077308307150614,0.077308307150614,0.0,0.077308307150614
0.07175030229122085,0.07175030229122085,0.0,0.07175030229122085
0.06693337599713395,0.06693337599713395,0.0,0.06693337599713395
0.0627185760373281,0.0627185760373281,0.0,0.0627185760373281
0.05899964482337021,0.05899964482337021,0.0,0.05899964482337021
0.05569393756425355,0.05569393756425355,0.0,0.05569393756425355
0.0527362083723415,0.0527362083723415,0.0,0.0527362083723415
0.05007426053752199,0.05007426053752199,0.0,0.05007426053752199
0.047665839580178566,0.047665839580178566,0.0,0.047665839580178566
0.045476373653351235,0.045476373653351235,0.0,0.045476373653351235
0.0434773034052025,0.0434773034052025,0.0,0.0434773034052025
0.04164482937586516,0.04164482937586516,0.0,0.04164482937586516
0.03995896001905063,0.03995896001905063,0.0,0.03995896001905063
0.038402779410974364,0.07734725162282569,0.03894447221185133,0.038402779410974364
0.036961877690633256,0.07444512345303135,0.037483245762398115,0.036961877690633256
0.03562390354859542,0.07175030229122084,0.03612639874262544,0.03562390354859542
0.03437820930431442,0.06924134258477903,0.034863133280464614,0.03437820930431442
0.033215566967982786,0.066899658188105,0.03368409122012223,0.033215566967982786
0.032127939258153666,0.06470906116793021,0.03258112190977655,0.032127939258153666
0.03110829355356033,0.06265538708264314,0.06328413387892437,0.03110829355356033
0.030150449671876488,0.06072618839264382,0.06133557568047406,0.030150449671876488
0.029248954511048243,0.058910481974753244,0.05950164864905939,0.029248954511048243
0.02839897818068431,0.057198539919868605,0.057772527256011716,0.02839897818068431
0.027596227444880266,0.05558171519767414,0.08440636570708922,0.0558631154539016
0.02683687320134209,0.054052295591940504,0.08208378983655282,0.05432595267098457
0.026117489411174238,0.052603380698671244,0.07988346838326936,0.05286970218145371
0.025435001424084967,0.05122877784761135,0.07779599716119696,0.05148813996267507
0.02478664205481089,0.04992291363552966,0.0758129124028954,0.05017566439427645
0.024169914087381717,0.04868075840584996,0.07392657607433054,0.04892722035543238
